GENDER,AGE_GRP,JOB_NM,TRAVEL_TERM,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE,TRAVEL_COMPANIONS_NUM,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_MISSION_CHECK,MAJOR_TRANSPORT,TOTAL_MVMN_WON,MAJOR_ACTIVITY_TYPE,TOTAL_ACTIVITY_WON,TOTAL_WON,TRAVEL_DURATION,SEASON
남,50,사무 종사자,한달,50110,42770,46890,도시 선호(약),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(중),자연 선호(약),도시 선호(중),자연 선호(중),전라남도,전북,자녀 동반 여행,"역사 탐방, 문화적 경험 등 교육적 동기",3,g_g005581,배우자,여자,30대,SNS 인생샷 여행;인플루언서 따라하기 여행;역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람,2023-08-19,2023-08-20,역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람,['자가용(승용/승합/트럭 등등)'],8300.0,['취식'],0.048,8300.048,1,Summer
남,50,사무 종사자,한달,50110,42770,46890,도시 선호(약),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(중),자연 선호(약),도시 선호(중),자연 선호(중),전라남도,전북,자녀 동반 여행,"역사 탐방, 문화적 경험 등 교육적 동기",3,g_g005581,자녀,여자,~9세이하,SNS 인생샷 여행;인플루언서 따라하기 여행;역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람,2023-08-19,2023-08-20,역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람,['자가용(승용/승합/트럭 등등)'],8300.0,['취식'],0.048,8300.048,1,Summer
남,40,장치․기계 조작 및 조립 종사자,1년,50110,11680,46130,도시 선호(약),자연 선호(약),자연 선호(강),자연 선호(약),도시 선호(중),도시 선호(중),도시 선호(중),자연 선호(중),충청북도,전남,2인 가족 여행,여행 동반자와의 친밀감 및 유대감 증진,1,g_g007086,배우자,여자,40대,"드라마 촬영지 방문;테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;인플루언서 따라하기 여행;역사 유적지 방문",2023-08-20,2023-08-22,쇼핑;드라마 촬영지 방문;Well-ness 여행,['자가용(승용/승합/트럭 등등)'],68000.0,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매']",0.17016,68000.17016,2,Summer
남,60,단순노무종사자,한달,27140,42210,50130,도시 선호(강),중립,도시 선호(중),중립,도시 선호(중),도시 선호(약),도시 선호(중),도시 선호(중),서울특별시,충남,나홀로 여행,"역사 탐방, 문화적 경험 등 교육적 동기",0,g_g013093,없음,없음,없음,쇼핑;온천/스파,2023-09-28,2023-09-29,역사 유적지 방문;신규 여행지 발굴;쇼핑,['지하철'],3200.0,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매']",0.008,3200.008,1,Autumn
여,30,사무 종사자,1년,50130,47110,42150,자연 선호(강),자연 선호(강),자연 선호(중),자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(약),대구광역시,대전,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g002668,연인,남자,30대,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;Well-ness 여행;신규 여행지 발굴,2023-06-16,2023-06-18,Well-ness 여행;드라마 촬영지 방문;신규 여행지 발굴,['자가용(승용/승합/트럭 등등)'],99700.0,['취식'],0.1416,99700.1416,2,Summer
여,40,전문가 및 관련 종사자,한달,27230,47820,41670,자연 선호(강),자연 선호(강),자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),대구광역시,충남,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",7,g_g000842,배우자,남자,40대,친환경 여행(플로깅 여행);신규 여행지 발굴;신규 여행지 발굴;친환경 여행(플로깅 여행),2023-05-27,2023-05-30,"신규 여행지 발굴;친환경 여행(플로깅 여행);테마파크, 놀이시설, 동/식물원 방문",['자가용(승용/승합/트럭 등등)'],130000.0,['체험 활동 / 입장 및 관람'],0.0623,130000.0623,3,Spring
여,40,전문가 및 관련 종사자,한달,27230,47820,41670,자연 선호(강),자연 선호(강),자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),대구광역시,충남,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",7,g_g000842,자녀,여자,~9세이하,친환경 여행(플로깅 여행);신규 여행지 발굴;신규 여행지 발굴;친환경 여행(플로깅 여행),2023-05-27,2023-05-30,"신규 여행지 발굴;친환경 여행(플로깅 여행);테마파크, 놀이시설, 동/식물원 방문",['자가용(승용/승합/트럭 등등)'],130000.0,['체험 활동 / 입장 및 관람'],0.0623,130000.0623,3,Spring
여,40,전문가 및 관련 종사자,한달,27230,47820,41670,자연 선호(강),자연 선호(강),자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),대구광역시,충남,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",7,g_g000842,친구,여자,40대,친환경 여행(플로깅 여행);신규 여행지 발굴;신규 여행지 발굴;친환경 여행(플로깅 여행),2023-05-27,2023-05-30,"신규 여행지 발굴;친환경 여행(플로깅 여행);테마파크, 놀이시설, 동/식물원 방문",['자가용(승용/승합/트럭 등등)'],130000.0,['체험 활동 / 입장 및 관람'],0.0623,130000.0623,3,Spring
여,40,전문가 및 관련 종사자,한달,27230,47820,41670,자연 선호(강),자연 선호(강),자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),대구광역시,충남,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",7,g_g000842,기타,여자,~9세이하,친환경 여행(플로깅 여행);신규 여행지 발굴;신규 여행지 발굴;친환경 여행(플로깅 여행),2023-05-27,2023-05-30,"신규 여행지 발굴;친환경 여행(플로깅 여행);테마파크, 놀이시설, 동/식물원 방문",['자가용(승용/승합/트럭 등등)'],130000.0,['체험 활동 / 입장 및 관람'],0.0623,130000.0623,3,Spring
여,40,전문가 및 관련 종사자,한달,27230,47820,41670,자연 선호(강),자연 선호(강),자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),대구광역시,충남,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",7,g_g000842,자녀,남자,10대,친환경 여행(플로깅 여행);신규 여행지 발굴;신규 여행지 발굴;친환경 여행(플로깅 여행),2023-05-27,2023-05-30,"신규 여행지 발굴;친환경 여행(플로깅 여행);테마파크, 놀이시설, 동/식물원 방문",['자가용(승용/승합/트럭 등등)'],130000.0,['체험 활동 / 입장 및 관람'],0.0623,130000.0623,3,Spring
여,40,전문가 및 관련 종사자,한달,27230,47820,41670,자연 선호(강),자연 선호(강),자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),대구광역시,충남,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",7,g_g000842,친구,남자,40대,친환경 여행(플로깅 여행);신규 여행지 발굴;신규 여행지 발굴;친환경 여행(플로깅 여행),2023-05-27,2023-05-30,"신규 여행지 발굴;친환경 여행(플로깅 여행);테마파크, 놀이시설, 동/식물원 방문",['자가용(승용/승합/트럭 등등)'],130000.0,['체험 활동 / 입장 및 관람'],0.0623,130000.0623,3,Spring
여,40,전문가 및 관련 종사자,한달,27230,47820,41670,자연 선호(강),자연 선호(강),자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),대구광역시,충남,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",7,g_g000842,기타,남자,10대,친환경 여행(플로깅 여행);신규 여행지 발굴;신규 여행지 발굴;친환경 여행(플로깅 여행),2023-05-27,2023-05-30,"신규 여행지 발굴;친환경 여행(플로깅 여행);테마파크, 놀이시설, 동/식물원 방문",['자가용(승용/승합/트럭 등등)'],130000.0,['체험 활동 / 입장 및 관람'],0.0623,130000.0623,3,Spring
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,자녀,여자,10대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,친구,여자,50대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,친구,남자,50대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,친구,남자,50대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,자녀,남자,10대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,친구,남자,50대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,친구,여자,50대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,친구,남자,50대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,50,사무 종사자,1년,46820,26290,44710,중립,중립,중립,자연 선호(약),도시 선호(약),중립,자연 선호(약),중립,대전광역시,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",9,g_g003019,배우자,여자,40대,캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑;캠핑,2023-07-09,2023-07-10,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],20000.0,['기타 활동'],0.01,20000.01,1,Summer
남,30,단순노무종사자,1년,50110,42150,26710,도시 선호(약),도시 선호(약),도시 선호(약),자연 선호(중),자연 선호(약),도시 선호(약),도시 선호(중),자연 선호(약),서울특별시,충남,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g002538,연인,여자,20대,Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;역사 유적지 방문,2023-06-16,2023-06-18,친환경 여행(플로깅 여행);SNS 인생샷 여행;신규 여행지 발굴,['시외/고속버스'],113300.0,['취식'],0.13092,113300.13092,2,Summer
남,20,사무 종사자,한달,50130,44800,46130,중립,자연 선호(강),자연 선호(강),자연 선호(중),도시 선호(강),자연 선호(약),자연 선호(강),중립,경기도,충북,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",2,g_g001028,배우자,남자,30대,"종교/성지 순례;테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;역사 유적지 방문;캠핑",2023-05-27,2023-05-30,역사 유적지 방문;종교/성지 순례;캠핑,['자가용(승용/승합/트럭 등등)'],80000.0,"['쇼핑 / 구매', '취식']",0.11177,80000.11177,3,Spring
남,20,사무 종사자,한달,50130,44800,46130,중립,자연 선호(강),자연 선호(강),자연 선호(중),도시 선호(강),자연 선호(약),자연 선호(강),중립,경기도,충북,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",2,g_g001028,자녀,여자,~9세이하,"종교/성지 순례;테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;역사 유적지 방문;캠핑",2023-05-27,2023-05-30,역사 유적지 방문;종교/성지 순례;캠핑,['자가용(승용/승합/트럭 등등)'],80000.0,"['쇼핑 / 구매', '취식']",0.11177,80000.11177,3,Spring
남,20,학생,한달,42210,41820,47130,자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(강),자연 선호(강),도시 선호(강),자연 선호(강),도시 선호(중),서울특별시,전남,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g005330,연인,여자,20대,"SNS 인생샷 여행;호캉스 여행;야외 스포츠, 레포츠 활동;지역 문화예술/공연/전시시설 관람",2023-08-20,2023-08-22,호캉스 여행;지역 문화예술/공연/전시시설 관람;역사 유적지 방문,"['KTX/SRT(고속열차)', '지하철', '택시']",206300.0,['취식'],0.2236,206300.2236,2,Summer
남,50,서비스 종사자,한달,44230,44210,30170,자연 선호(중),중립,자연 선호(약),중립,자연 선호(중),자연 선호(약),자연 선호(중),도시 선호(중),대전광역시,충남,2인 여행(가족 외),SNS 사진 등록 등 과시,1,g_g002154,배우자,여자,30대,캠핑;등반 여행;SNS 인생샷 여행,2023-07-01,2023-07-03,캠핑;등반 여행;반려동물 동반 여행,['자가용(승용/승합/트럭 등등)'],52000.0,['단순 구경 / 산책 / 걷기'],0.08881,52000.08881,2,Summer
남,20,학생,1년,50110,42150,26350,도시 선호(약),자연 선호(약),도시 선호(약),자연 선호(약),자연 선호(약),도시 선호(약),도시 선호(약),중립,경기도,대전,2인 여행(가족 외),새로운 경험 추구,1,g_g006231,연인,여자,20대,쇼핑;SNS 인생샷 여행;인플루언서 따라하기 여행;지역 축제/이벤트 참가,2023-08-14,2023-08-15,쇼핑;시티투어;인플루언서 따라하기 여행,"['KTX/SRT(고속열차)', '버스 + 지하철']",94200.0,['취식'],0.0687,94200.0687,1,Summer
여,30,사무 종사자,1년,50110,42150,30200,중립,중립,도시 선호(약),도시 선호(약),중립,자연 선호(약),자연 선호(중),도시 선호(약),경기도,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g007196,친구,여자,20대,"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;호캉스 여행;인플루언서 따라하기 여행;역사 유적지 방문",2023-08-19,2023-08-21,"인플루언서 따라하기 여행;역사 유적지 방문;테마파크, 놀이시설, 동/식물원 방문",['택시'],59600.0,['취식'],0.1222,59600.1222,2,Summer
남,50,사무 종사자,한달,42210,44770,50130,자연 선호(중),자연 선호(약),자연 선호(중),중립,자연 선호(중),자연 선호(중),도시 선호(중),중립,강원도,충북,자녀 동반 여행,"역사 탐방, 문화적 경험 등 교육적 동기",2,g_g012724,자녀,여자,~9세이하,"테마파크, 놀이시설, 동/식물원 방문;시티투어;야외 스포츠, 레포츠 활동;지역 문화예술/공연/전시시설 관람",2023-09-23,2023-09-24,"지역 문화예술/공연/전시시설 관람;테마파크, 놀이시설, 동/식물원 방문;쇼핑",['자가용(승용/승합/트럭 등등)'],10829.0,['취식'],0.087,10829.087,1,Autumn
남,50,사무 종사자,한달,42210,44770,50130,자연 선호(중),자연 선호(약),자연 선호(중),중립,자연 선호(중),자연 선호(중),도시 선호(중),중립,강원도,충북,자녀 동반 여행,"역사 탐방, 문화적 경험 등 교육적 동기",2,g_g012724,배우자,여자,40대,"테마파크, 놀이시설, 동/식물원 방문;시티투어;야외 스포츠, 레포츠 활동;지역 문화예술/공연/전시시설 관람",2023-09-23,2023-09-24,"지역 문화예술/공연/전시시설 관람;테마파크, 놀이시설, 동/식물원 방문;쇼핑",['자가용(승용/승합/트럭 등등)'],10829.0,['취식'],0.087,10829.087,1,Autumn
여,40,사무 종사자,1년,50130,50110,26200,자연 선호(중),자연 선호(약),자연 선호(중),중립,중립,중립,도시 선호(약),도시 선호(약),대전광역시,충남,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g011669,연인,남자,30대,"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;역사 유적지 방문",2023-09-17,2023-09-18,"SNS 인생샷 여행;테마파크, 놀이시설, 동/식물원 방문;인플루언서 따라하기 여행",['자가용(승용/승합/트럭 등등)'],8400.0,['취식'],0.1315,8400.1315,1,Autumn
